지점코드,지점명,측정항목,2026년1월,2026년2월,2026년3월,2026년4월,2026년5월,2026년6월,2026년7월,2026년8월,2026년9월,2026년 10월,2026년11월,2026년12월
1001A15,골지천2,수위,,,,,,,,,,,,
1001A15,골지천2,용해성 망간(Mn),,,,,,,,,,,,
1001A15,골지천2,암모니아성 질소(NH3-N),0.068,0.012,0.004,0,,,,,,,,
1001A15,골지천2,노말헥산추출물질,,,,,,,,,,,,
1001A15,골지천2,니켈(Ni),,,,,,,,,,,,
1001A15,골지천2,질산성질소(NO3-N),5.22,3.704,3.723,3.672,,,,,,,,
1001A15,골지천2,유기인,,,,,,,,,,,,
1001A15,골지천2,납(Pb),,,0,,,,,,,,,
1001A15,골지천2,폴리클로리네이티드비페닐(PCB),,,,,,,,,,,,
1001A15,골지천2,테트라클로로에틸렌(PCE),,,,,,,,,,,,
1001A15,골지천2,수소이온농도(pH),8.7,8.7,8.8,8,,,,,,,,
1001A15,골지천2,페놀류(phenols),0,0,0,0,,,,,,,,
1001A15,골지천2,인산염 인(PO4-P),0.001,0.001,0.001,0.001,,,,,,,,
1001A15,골지천2,셀레늄(Se),,,,,,,,,,,,
1001A15,골지천2,부유물질(SS),2.4,2.3,2.4,2.6,,,,,,,,
1001A15,골지천2,트리클로로에틸렌(TCE),,,,,,,,,,,,
1001A15,골지천2,총대장균군,9,54,120,100,,,,,,,,
1001A15,골지천2,수온,4.4,4.1,4.6,8.7,,,,,,,,
1001A15,골지천2,총질소(T-N),5.688,5.285,5.347,4.487,,,,,,,,
1001A15,골지천2,총유기탄소(TOC),0.6,0.4,0.6,0.9,,,,,,,,
1001A15,골지천2,총인(T-P),0.004,0.005,0.004,0.005,,,,,,,,
1001A15,골지천2,투명도,,,,,,,,,,,,
1001A15,골지천2,아연(Zn),,,,,,,,,,,,
1001A20,번천,음이온계면활성제(ABS),,,0,,,,,,,,,
1001A20,번천,조류,,,,,,,,,,,,
1001A20,번천,유량,,,,,,,,,,,,
1001A20,번천,안티몬(Sb),,,0,,,,,,,,,
1001A20,번천,비소(As),,,0,,,,,,,,,
1001A20,번천,바륨(Ba),,,,,,,,,,,,
1001A20,번천,벤젠,,,,,,,,,,,,
1001A20,번천,생물화학적산소요구량(BOD),0.9,,3.2,1,,,,,,,,
1001A20,번천,사염화탄소,,,,,,,,,,,,
1001A20,번천,카드뮴(Cd),,,0,,,,,,,,,
1001A20,번천,클로로포름,,,,,,,,,,,,
1001A20,번천,염소이온(Cl-),,,,,,,,,,,,
1001A20,번천,클로로필-a(Chlorophyll-a),0.1,,0.6,0.3,,,,,,,,
1001A20,번천,시안(CN),,,0,,,,,,,,,
1001A20,번천,화학적산소요구량(COD),1.5,,3.2,1.2,,,,,,,,
1001A20,번천,색도,,,,,,,,,,,,
1001A20,번천,크롬(Cr),,,,,,,,,,,,
1001A20,번천,6가크롬(Cr6+),,,0,,,,,,,,,
1001A20,번천,구리(Cu),,,,,,,,,,,,
1001A20,번천,"1,2,-다이클로로에탄",,,,,,,,,,,,
1001A20,번천,다이클로로메탄,,,,,,,,,,,,
1001A20,번천,다이에틸헥실프탈레이트(DEHP),,,,,,,,,,,,
1001A20,번천,"1,4-다이옥세인",,,,,,,,,,,,
1001A20,번천,용존산소(DO),12.9,,12.8,10.6,,,,,,,,
1001A20,번천,용존총질소(DTN),3.481,,3.119,1.886,,,,,,,,
1001A20,번천,용존총인(DTP),0.001,,0.001,0.003,,,,,,,,
1001A20,번천,전기전도도(EC),143,,199,104,,,,,,,,
1001A20,번천,분원성대장균군,0,,0,1,,,,,,,,
1001A20,번천,용해성 철(Fe),,,,,,,,,,,,
1001A20,번천,불소(F),,,,,,,,,,,,
1001A20,번천,헥사클로로벤젠,,,,,,,,,,,,
1001A20,번천,포름알데히드,,,,,,,,,,,,
1001A20,번천,수은(Hg),,,0,,,,,,,,,
1001A20,번천,수위,,,,,,,,,,,,
1001A20,번천,용해성 망간(Mn),,,,,,,,,,,,
1001A20,번천,암모니아성 질소(NH3-N),0.012,,0.009,0,,,,,,,,
1001A20,번천,노말헥산추출물질,,,,,,,,,,,,
1001A20,번천,니켈(Ni),,,,,,,,,,,,
1001A20,번천,질산성질소(NO3-N),3.391,,1.897,2.002,,,,,,,,
1001A20,번천,유기인,,,,,,,,,,,,
1001A20,번천,납(Pb),,,0,,,,,,,,,
1001A20,번천,폴리클로리네이티드비페닐(PCB),,,,,,,,,,,,
1001A20,번천,테트라클로로에틸렌(PCE),,,,,,,,,,,,
1001A20,번천,수소이온농도(pH),8.4,,8.5,8.1,,,,,,,,
1001A20,번천,페놀류(phenols),0,,0,0,,,,,,,,
1001A20,번천,인산염 인(PO4-P),0,,0.001,0.001,,,,,,,,
1001A20,번천,셀레늄(Se),,,,,,,,,,,,
1001A20,번천,부유물질(SS),1.5,,1.9,1.7,,,,,,,,
1001A20,번천,트리클로로에틸렌(TCE),,,,,,,,,,,,
1001A20,번천,총대장균군,76,,260,91,,,,,,,,
1001A20,번천,수온,1,,1.3,8.5,,,,,,,,
1001A20,번천,총질소(T-N),3.552,,3.36,2.018,,,,,,,,
1001A20,번천,총유기탄소(TOC),0.8,,1.2,1,,,,,,,,
1001A20,번천,총인(T-P),0.002,,0.002,0.004,,,,,,,,
1001A20,번천,투명도,,,,,,,,,,,,
1001A20,번천,아연(Zn),,,,,,,,,,,,
1001A21,골지천3,음이온계면활성제(ABS),,,,,,,,,,,,
1001A21,골지천3,조류,,,,,,,,,,,,
1001A21,골지천3,유량,,0.316,0.821,3.477,,,,,,,,
1001A21,골지천3,안티몬(Sb),,,,,,,,,,,,
1001A21,골지천3,비소(As),,,,,,,,,,,,
1001A21,골지천3,바륨(Ba),,,,,,,,,,,,
1001A21,골지천3,벤젠,,,,,,,,,,,,
1001A21,골지천3,생물화학적산소요구량(BOD),,1.1,0.7,0.9,,,,,,,,
1001A21,골지천3,사염화탄소,,,,,,,,,,,,
1001A21,골지천3,카드뮴(Cd),,,,,,,,,,,,
1001A21,골지천3,클로로포름,,,,,,,,,,,,
1001A21,골지천3,염소이온(Cl-),,,,,,,,,,,,
1001A21,골지천3,클로로필-a(Chlorophyll-a),,,,,,,,,,,,
1001A21,골지천3,시안(CN),,,,,,,,,,,,
1001A21,골지천3,화학적산소요구량(COD),,2.5,2.6,2.5,,,,,,,,
1001A21,골지천3,색도,,,,,,,,,,,,
1001A21,골지천3,크롬(Cr),,,,,,,,,,,,
1001A21,골지천3,6가크롬(Cr6+),,,,,,,,,,,,
1001A21,골지천3,구리(Cu),,,,,,,,,,,,
1001A21,골지천3,"1,2,-다이클로로에탄",,,,,,,,,,,,
1001A21,골지천3,다이클로로메탄,,,,,,,,,,,,
1001A21,골지천3,다이에틸헥실프탈레이트(DEHP),,,,,,,,,,,,
